freq_Hz,VCO,REF,DTC,MMD,SPD_GM,DSM_QN,TOTAL
240409.918,-123.055,-120.102,-125.509,-128.148,-130.148,-194.673,-116.984
247447.864,-122.890,-120.188,-125.480,-128.119,-130.119,-194.143,-116.976
254691.844,-122.726,-120.273,-125.450,-128.089,-130.089,-193.612,-116.966
262147.890,-122.564,-120.358,-125.419,-128.058,-130.058,-193.080,-116.952
269822.209,-122.402,-120.440,-125.388,-128.027,-130.027,-192.547,-116.936
277721.193,-122.243,-120.522,-125.356,-127.994,-129.994,-192.013,-116.917
285851.418,-122.084,-120.603,-125.322,-127.961,-129.961,-191.479,-116.896
294219.653,-121.928,-120.683,-125.289,-127.928,-129.928,-190.944,-116.873
302832.867,-121.773,-120.762,-125.254,-127.893,-129.893,-190.408,-116.847
311698.230,-121.620,-120.840,-125.219,-127.858,-129.858,-189.872,-116.819
320823.125,-121.470,-120.917,-125.184,-127.823,-129.823,-189.336,-116.788
330215.148,-121.321,-120.994,-125.148,-127.787,-129.787,-188.798,-116.757
339882.122,-121.175,-121.069,-125.112,-127.751,-129.751,-188.261,-116.723
349832.094,-121.031,-121.145,-125.075,-127.714,-129.714,-187.723,-116.688
360073.348,-120.890,-121.219,-125.038,-127.677,-129.677,-187.185,-116.652
370614.414,-120.751,-121.293,-125.002,-127.641,-129.641,-186.647,-116.614
381464.066,-120.615,-121.367,-124.965,-127.604,-129.604,-186.109,-116.576
392631.340,-120.482,-121.440,-124.928,-127.567,-129.567,-185.571,-116.537
404125.533,-120.352,-121.514,-124.892,-127.531,-129.531,-185.033,-116.498
415956.216,-120.226,-121.587,-124.856,-127.495,-129.495,-184.496,-116.458
428133.240,-120.102,-121.661,-124.820,-127.459,-129.459,-183.959,-116.418
440666.743,-119.983,-121.734,-124.785,-127.424,-129.424,-183.423,-116.379
453567.162,-119.866,-121.809,-124.751,-127.390,-129.390,-182.888,-116.340
466845.237,-119.754,-121.883,-124.718,-127.357,-129.357,-182.354,-116.301
